Documento,Entidad y periodo que cubre,"Resolución que lo aprueba, con su fecha",¿Se aprobó antes de iniciar el periodo?,¿Sigue vigente hoy?,¿Propone proyectos con presupuesto?
PEI,SUNAT 2026-2030,Res. 000395-2025/SUNAT (30/12/2025),Sí,Sí,Sí
PGD,SUNAT 2025-2027,Res. 000301-2024/SUNAT (29/12/2024),Sí,Sí,Sí
